"","cód_ibge","distritos","renda","quota","escolaridade","idade","mortalidade","txcresc","causasext","favel","denspop"
"40","40","Jaguara",159,28.8400001525879,7.09999990463257,29,16.7600002288818,-2.89000010490417,50.9900016784668,1.97000002861023,55.9300003051758
"41","41","Jaguaré",2124,32.8699989318848,7,26,10.8199996948242,-4.03999996185303,83.75,26.7299995422363,54.7000007629395
"42","42","Jaraguá",1079,9.88000011444092,6.19999980926514,23,19.2700004577637,4.17999982833862,84.4899978637695,6.21000003814697,41.439998626709
"43","43","Jardim Ângela",912,6.21999979019165,5.40000009536743,21,20.9099998474121,4.42000007629395,117.349998474121,15.75,59.2000007629395
"44","44","Jardim Helena",893,9.22000026702881,5.59999990463257,21,17.1299991607666,3.05999994277954,75.6699981689453,12.6999998092651,151.210006713867
"45","45","Jardim Paulista",4318,104.730003356934,8.69999980926514,36,6.46000003814697,-2.84999990463257,22.75,0,146.330001831055
"46","46","Jardim São Luís",1224,11.8800001144409,6.19999980926514,23,19.9799995422363,1.78999996185303,105.26000213623,21.0100002288818,90.3899993896484
"47","47","José Bonifácio",1075,12.2600002288818,6.80000019073486,23,17.7199993133545,0.0399999991059303,72.1100006103516,0,73.7099990844727
"48","48","Lapa",2462,48.1199989318848,8.39999961853027,35,11.3400001525879,-2.19000005722046,43.560001373291,0,62.9599990844727
"49","49","Liberdade",2106,49.1699981689453,8.30000019073486,31,10.3999996185303,-3.33999991416931,52.2900009155273,0,173.919998168945
"50","50","Limão",2266,21.5900001525879,7.09999990463257,27,13.3199996948242,-1.46000003814697,89.9199981689453,5.23999977111816,133.320007324219
"51","51","Mandaqui",1978,25.2000007629395,7.59999990463257,28,14.8400001525879,-0.400000005960464,51.4599990844727,0.419999986886978,77.8399963378906
"52","52","Marsilac",988,0.610000014305115,4.80000019073486,20,44.25,4.3600001335144,65.8099975585938,0,0.370000004768372
"53","53","Mooca",2466,50.060001373291,8.19999980926514,34,16.1599998474121,-2.38000011444092,71.370002746582,0,82.9100036621094
"54","54","Morumbi",5146,102.01000213623,7.40000009536743,28,12.3500003814697,-0.75,79.4000015258789,14.3000001907349,33.8199996948242
"55","55","Parelheiros",901,4.51000022888184,5.19999980926514,21,14.3900003433228,8.22000026702881,115.220001220703,6.65999984741211,5.38000011444092
"56","56","Pari",1635,40.8499984741211,7.59999990463257,32,21.9400005340576,-6.23999977111816,99.9599990844727,0,53.2200012207031
"57","57","Parque do Carmo",1271,14.1899995803833,6.09999990463257,23,16.0200004577637,0.509999990463257,68.9100036621094,4.88000011444092,36.4599990844727
"58","58","Pedreira",1151,8.48999977111816,5.80000019073486,22,15.4700002670288,4.92000007629395,59.5999984741211,26.5300006866455,58.4700012207031
"59","59","Penha",1896,27.1200008392334,7.40000009536743,30,16.1200008392334,-0.930000007152557,62.7099990844727,1.48000001907349,112.349998474121
"60","60","Perdizes",3456,61.2700004577637,8.69999980926514,34,9.22999954223633,-0.949999988079071,29.5499992370605,0,170.080001831055
"61","61","Perus",1006,9.77999973297119,5.80000019073486,23,21.5100002288818,4.46000003814697,80.9899978637695,4.34000015258789,24.1000003814697
"62","62","Pinheiros",3711,80.5899963378906,8.30000019073486,35,12.7799997329712,-2.4300000667572,44.2099990844727,0,86.9300003051758
"63","63","Pirituba",1417,21.2700004577637,7,26,17.2299995422363,-0.100000001490116,67.4499969482422,4.82999992370605,88.629997253418
"64","64","Ponte Rasa",1264,20.2900009155273,6.90000009536743,26,12.289999961853,-0.829999983310699,62.0900001525879,3.27999997138977,153.889999389648
